allenkitch,stool,1
andrealibrary,mug,2
andrewlvrm,mounted deer head,3
annlvrm,backpack,4
beccakitch,fruit bowl,5
bedwithbath,clock,6
benhall,firewood,7
brianoffice,monitor,8
brucebdrm,decorative sword,9
carlrecroom,crate,10
christykitch,pencil holder,11
cosbylvrm,wall telephone,12
dormroom,trash can,13
eddiekitch,espresso machine,14
ericalvrm,wall light,15
garylvrm,footstool,16
janelvrm,telephone,17
jeffbath,clock,18
jennbath,footstool,19
jimkitch,toaster,20
joeoffice,mirror,21
judylvrm,rocking horse,22
kitchen1,toaster,23
kitchen5,wall light,24
kitchen6,recycling bin,25
kitchenbrown,microwave,26
lisaoff,clock,27
markbdrm,tennis racket,28
melissabdrm,lamp,29
samkitch,ceiling fan,30
sandygarage,firewood,31
seanbdrm,alarm clock,32
stevebdrm,curtain,33
tonydining,firewood,34
victoriakitch,mixer,35
zachlvrm,spotlight,36
